Deck Type,Conc Type,Total,Topping,Deck Gage,1Span,2Span,3Span,Concrete + Deck (psf),4ft,5ft,6ft,7ft,8ft,9ft,10ft,11ft,12ft,13ft,14ft,15ft,16ft,Design,Deck Weight (psf)
3,LW,5,2,19,13.08,15.25,15.42,34.5,528,528,528,528,528,395,287,216,166,131,104,85,70,3VL19 GA w/ 2in LWC,2.4
3,LW,5,2,18,13.5,16.67,15.83,34.8,592,592,592,592,592,416,303,227,175,138,110,89,74,3VL18 GA w/ 2in LWC,2.7
3,LW,5,2,16,14.25,17.75,16.75,35.6,654,654,654,654,654,459,334,251,193,152,122,99,81,3VL16 GA w/ 2in LWC,3.5
3,LW,5.5,2.5,22,10.58,11.33,11.75,38.4,419,419,419,419,419,323,254,203,165,135,111,91,76,3VL22 GA w/ 2.5in LWC,1.7
3,LW,5.5,2.5,20,12.17,13.17,13.58,38.8,504,504,504,504,504,390,308,248,202,160,128,104,86,3VL20 GA w/ 2.5in LWC,2.1
3,LW,5.5,2.5,19,12.75,14.67,14.92,39.1,581,581,581,581,581,451,358,281,216,170,136,111,91,3VL19 GA w/ 2.5in LWC,2.4
3,LW,5.5,2.5,18,13.17,16,15.42,39.4,652,652,652,652,652,507,394,296,228,179,143,116,96,3VL18 GA w/ 2.5in LWC,2.7
3,LW,5.5,2.5,16,13.83,17.25,16.25,40.2,801,801,801,801,801,595,433,325,251,197,158,128,105,3VL16 GA w/ 2.5in LWC,3.5
3,LW,6.25,3.25,22,10,10.75,11.08,45.2,481,481,481,481,481,370,291,233,188,154,126,104,86,3VL22 GA w/ 3.25in LWC,1.7
3,LW,6.25,3.25,20,11.75,12.5,12.92,45.6,579,579,579,579,579,448,354,284,232,190,158,132,110,3VL20 GA w/ 3.25in LWC,2.1
3,LW,6.25,3.25,19,12.25,13.92,14.33,45.9,669,669,669,669,669,518,411,332,271,224,187,157,130,3VL19 GA w/ 3.25in LWC,2.4
3,LW,6.25,3.25,18,12.67,15.17,14.83,46.2,750,750,750,750,750,583,463,375,308,255,205,166,137,3VL18 GA w/ 3.25in LWC,2.7
3,LW,6.25,3.25,16,13.33,16.58,15.67,47,924,924,924,924,924,720,574,464,358,281,225,183,151,3VL16 GA w/ 3.25in LWC,3.5
